EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,60.0,Yes,Travel_Rarely,267,Research & Development,21,2,Life Sciences,1,1,Male,33,2,5,Research Director,4,Divorced,10521.0,6301,0,Y,No,25,3,4,80,0,13,5,4,13,8,11,6
2,44.0,Yes,Travel_Frequently,741,Human Resources,25,4,Life Sciences,1,1,Female,41,3,2,Human Resources,1,Single,18821.0,8027,5,Y,No,21,3,2,80,0,8,2,4,8,3,14,1
3,59.0,Yes,Travel_Rarely,1205,Research & Development,25,5,Other,1,2,Male,85,1,5,Research Scientist,3,Married,4227.0,17660,0,Y,No,20,3,4,80,0,14,0,1,14,7,13,4
4,23.0,Yes,Travel_Frequently,786,Research & Development,22,1,Medical,1,2,Male,77,1,4,Manufacturing Director,4,Married,10834.0,14245,1,Y,Yes,14,3,3,80,2,36,2,4,36,27,6,4
5,32.0,No,Travel_Rarely,699,Sales,23,4,Technical Degree,1,3,Male,48,1,4,Sales Representative,3,Single,7997.0,23793,7,Y,No,25,3,3,80,3,19,0,3,19,18,0,17
6,47.0,Yes,Travel_Rarely,201,Sales,25,5,Life Sciences,1,3,Female,55,2,1,Sales Executive,1,Divorced,7305.0,17380,5,Y,Yes,12,4,3,80,3,7,2,3,7,2,0,2
7,59.0,Yes,Travel_Rarely,859,Sales,14,3,Life Sciences,1,3,Male,67,3,1,Sales Representative,1,Married,8564.0,19330,8,Y,Yes,19,4,2,80,0,31,3,3,31,24,5,23
8,54.0,Yes,Non-Travel,817,Research & Development,14,3,Medical,1,3,Female,54,1,2,Manager,3,Divorced,8066.0,21592,0,Y,No,25,3,1,80,3,20,5,3,20,15,7,7
9,54.0,Yes,Travel_Rarely,188,Research & Development,26,2,Medical,1,1,Female,85,2,1,Healthcare Representative,3,Single,6790.0,5440,4,Y,No,24,3,2,80,1,40,6,1,40,10,6,7
10,59.0,No,Travel_Rarely,444,Research & Development,8,5,Human Resources,1,3,Male,57,3,3,Manager,2,Single,3985.0,3545,6,Y,No,23,3,2,80,1,18,6,1,18,9,5,9
11,54.0,No,Travel_Frequently,899,Sales,26,3,Marketing,1,2,Female,90,1,2,Manager,3,Single,14132.0,14844,8,Y,No,19,3,2,80,1,28,0,1,28,7,9,6
12,52.0,No,Travel_Rarely,1433,Human Resources,6,3,Technical Degree,1,2,Male,80,1,3,Manager,3,Married,9330.0,21891,8,Y,No,16,3,4,80,1,30,4,4,30,0,2,0
13,40.0,No,Travel_Rarely,707,Research & Development,22,2,Human Resources,1,2,Male,41,2,1,Laboratory Technician,2,Married,8364.0,2029,3,Y,No,24,3,1,80,3,5,3,1,5,1,13,0
14,23.0,No,Travel_Rarely,258,Sales,7,4,Life Sciences,1,4,Female,37,3,2,Sales Representative,4,Divorced,16008.0,11663,3,Y,No,12,4,4,80,1,3,5,2,3,1,11,0
15,21.0,No,Travel_Rarely,1237,Sales,7,3,Medical,1,4,Female,87,2,4,Sales Executive,2,Married,6333.0,19793,3,Y,Yes,13,3,2,80,1,28,2,2,28,17,10,16
16,35.0,No,Travel_Rarely,635,Sales,2,1,Other,1,4,Female,52,1,5,Sales Executive,4,Divorced,7086.0,5679,2,Y,No,15,4,3,80,1,2,0,2,2,2,6,1
17,26.0,Yes,Travel_Rarely,262,Research & Development,25,1,Marketing,1,3,Male,66,2,4,Manufacturing Director,4,Married,5111.0,16764,7,Y,Yes,21,4,2,80,1,0,5,4,0,0,5,0
18,46.0,Yes,Travel_Rarely,385,Research & Development,4,4,Human Resources,1,1,Male,40,2,3,Research Director,4,Single,19999.0,23531,4,Y,No,21,3,1,80,1,14,1,4,14,13,7,13
19,30.0,No,Travel_Rarely,964,Research & Development,13,5,Other,1,1,Female,46,1,4,Manufacturing Director,2,Single,5046.0,2125,6,Y,No,25,3,3,80,2,20,3,1,20,10,3,9
20,34.0,No,Travel_Rarely,154,Sales,29,2,Marketing,1,3,Male,85,1,4,Sales Executive,2,Married,2844.0,6908,9,Y,No,15,3,1,80,2,30,0,3,30,17,8,1
21,49.0,No,Travel_Rarely,675,Research & Development,10,1,Other,1,3,Male,82,3,5,Manager,1,Single,15078.0,8642,5,Y,No,23,3,2,80,1,6,3,2,6,2,14,2
22,39.0,Yes,Travel_Frequently,132,Sales,9,1,Medical,1,4,Male,96,3,5,Sales Representative,4,Single,1314.0,21642,8,Y,Yes,19,3,1,80,1,16,0,4,16,7,0,6
23,21.0,No,Travel_Rarely,657,Sales,15,4,Human Resources,1,2,Male,31,1,4,Manager,2,Married,17584.0,10845,2,Y,No,20,3,4,80,3,18,6,2,18,13,11,5
24,22.0,Yes,Travel_Rarely,830,Research & Development,12,5,Human Resources,1,2,Female,58,1,5,Research Scientist,1,Divorced,15153.0,26525,5,Y,No,13,3,3,80,1,38,1,1,38,5,15,5
25,54.0,Yes,Travel_Frequently,1092,Research & Development,27,5,Marketing,1,4,Male,86,4,4,Research Director,4,Single,7621.0,15648,2,Y,No,12,3,1,80,0,2,4,4,2,2,12,0
26,58.0,No,Travel_Rarely,900,Research & Development,10,4,Other,1,4,Female,63,4,2,Research Scientist,2,Divorced,6108.0,10932,1,Y,No,20,3,3,80,2,29,1,3,29,13,6,4
27,30.0,No,Travel_Rarely,295,Sales,19,1,Medical,1,1,Male,31,3,4,Sales Representative,2,Divorced,6014.0,20645,2,Y,No,18,3,3,80,1,34,2,3,34,6,8,6
28,51.0,No,Travel_Rarely,547,Research & Development,21,2,Life Sciences,1,4,Female,60,2,1,Research Director,2,Married,6050.0,9953,1,Y,No,17,3,2,80,2,28,3,4,28,9,15,4
29,39.0,No,Travel_Rarely,1024,Research & Development,5,1,Human Resources,1,2,Male,73,1,5,Manufacturing Director,3,Single,7156.0,26866,1,Y,No,22,3,2,80,1,13,4,3,13,12,15,3
30,40.0,No,Travel_Rarely,191,Sales,7,5,Life Sciences,1,2,Male,85,1,5,Sales Executive,1,Single,1932.0,13183,9,Y,No,19,4,3,80,0,34,3,1,34,16,9,10
31,20.0,No,Travel_Rarely,707,Research & Development,28,1,Medical,1,3,Male,83,2,3,Research Scientist,2,Married,4241.0,12769,6,Y,Yes,13,3,1,80,1,27,5,3,27,26,13,4
32,59.0,No,Travel_Rarely,1351,Sales,20,2,Human Resources,1,1,Male,82,3,3,Sales Executive,3,Married,2288.0,12931,9,Y,No,16,3,3,80,2,29,0,2,29,18,0,0
