EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_Label,PerformanceRating_Label,JobSatisfaction_Label,EnvironmentSatisfaction_Label,WorkLifeBalance_Label,TenureBucket,AgeGroup,IncomeBand,AttritionFlag,SatisfactionIndex,HighRisk,AttritionProb,RiskTier
1,60,Yes,Travel_Rarely,267,Research & Development,21,2,Life Sciences,1,Male,33,2,5,Research Director,4,Divorced,10521,6301,0,No,25,3,4,0,13,5,4,13,8,11,6,College,Excellent,Very High,Low,Very High,10-20 yrs,55+,10K-15K,1,3.25,1,0.3215,Medium
2,44,Yes,Travel_Frequently,741,Human Resources,25,4,Life Sciences,1,Female,41,3,2,Human Resources,1,Single,18821,8027,5,No,21,3,2,0,8,2,4,8,3,14,1,Master,Excellent,Low,Low,Very High,6-10 yrs,36-45,15K+,1,2.0,1,0.6054,High
3,59,Yes,Travel_Rarely,1205,Research & Development,25,5,Other,2,Male,85,1,5,Research Scientist,3,Married,4227,17660,0,No,20,3,4,0,14,0,1,14,7,13,4,Doctor,Excellent,High,Medium,Low,10-20 yrs,55+,3K-6K,1,2.5,1,0.6063,High
4,23,Yes,Travel_Frequently,786,Research & Development,22,1,Medical,2,Male,77,1,4,Manufacturing Director,4,Married,10834,14245,1,Yes,14,3,3,2,36,2,4,36,27,6,4,Below College,Excellent,Very High,Medium,Very High,20+ yrs,18-25,10K-15K,1,3.25,1,0.5649,Medium
5,32,No,Travel_Rarely,699,Sales,23,4,Technical Degree,3,Male,48,1,4,Sales Representative,3,Single,7997,23793,7,No,25,3,3,3,19,0,3,19,18,0,17,Master,Excellent,High,High,High,10-20 yrs,26-35,6K-10K,0,3.0,0,0.3023,Medium
6,47,Yes,Travel_Rarely,201,Sales,25,5,Life Sciences,3,Female,55,2,1,Sales Executive,1,Divorced,7305,17380,5,Yes,12,4,3,3,7,2,3,7,2,0,2,Doctor,Outstanding,Low,High,High,6-10 yrs,46-55,6K-10K,1,2.5,1,0.4975,Medium
7,59,Yes,Travel_Rarely,859,Sales,14,3,Life Sciences,3,Male,67,3,1,Sales Representative,1,Married,8564,19330,8,Yes,19,4,2,0,31,3,3,31,24,5,23,Bachelor,Outstanding,Low,High,High,20+ yrs,55+,6K-10K,1,2.25,1,0.3992,Medium
8,54,Yes,Non-Travel,817,Research & Development,14,3,Medical,3,Female,54,1,2,Manager,3,Divorced,8066,21592,0,No,25,3,1,3,20,5,3,20,15,7,7,Bachelor,Excellent,High,High,High,10-20 yrs,46-55,6K-10K,1,2.5,1,0.4861,Medium
9,54,Yes,Travel_Rarely,188,Research & Development,26,2,Medical,1,Female,85,2,1,Healthcare Representative,3,Single,6790,5440,4,No,24,3,2,1,40,6,1,40,10,6,7,College,Excellent,High,Low,Low,20+ yrs,46-55,6K-10K,1,1.75,1,0.639,High
10,59,No,Travel_Rarely,444,Research & Development,8,5,Human Resources,3,Male,57,3,3,Manager,2,Single,3985,3545,6,No,23,3,2,1,18,6,1,18,9,5,9,Doctor,Excellent,Medium,High,Low,10-20 yrs,55+,3K-6K,0,2.0,1,0.4427,Medium
